business_id,business_address,business_city,business_latitude,business_longitude,inspection_score
1154,506 Valencia St,San Francisco,37.764678,-122.42190500000001,56.294117647058826
1156,"170 O'Farrell St, 1st Floor",San Francisco,37.786547999999996,-122.40731299999999,95.5
1188,776 Arguello Blvd,San Francisco,37.775723,-122.458445,100.0
1191,0537 BALBOA St,San Francisco,37.77714,-122.46441200000001,89.6
1193,3419 CALIFORNIA St,San Francisco,37.786753999999995,-122.450476,96.0
1194,3585 CALIFORNIA St,San Francisco,37.786453,-122.452807,98.66666666666667
1199,3440 GEARY Blvd,San Francisco,37.781507,-122.456176,84.375
1203,4403 GEARY Blvd,San Francisco,37.780834000000006,-122.46659,79.54545454545455
1219,2 HENRY ADAMS St,San Francisco,37.769287,-122.403974,87.4
1231,3406 18th St,San Francisco,37.761882,-122.419599,77.80952380952381
1232,284 O'Farrell St,San Francisco,37.786316,-122.409371,84.85714285714286
1241,1105 TARAVAL St,San Francisco,37.742895000000004,-122.477898,90.33333333333333
1243,0703 GUERRERO St,San Francisco,37.759934,-122.423553,89.875
1249,2706 MISSION St,San Francisco,37.753690999999996,-122.41865700000001,75.63157894736842
1261,848 COLE St,San Francisco,37.766096999999995,-122.449997,89.33333333333333
1262,800 STANYAN St,San Francisco,37.767286,-122.453075,91.33333333333333
1263,852 STANYAN St,San Francisco,37.766812,-122.452974,93.66666666666667
1265,744 IRVING St,San Francisco,37.764088,-122.465981,100.0
1269,201 SPEAR St,San Francisco,37.790944,-122.392051,93.66666666666667
1274,3698 17th St,San Francisco,37.762939,-122.428473,86.0
1280,149 NOE St,San Francisco,37.766774,-122.433306,92.25
1289,3991 A 17th St,San Francisco,37.758132,-122.43561399999999,89.07692307692308
1294,579 Castro St,San Francisco,37.759613,-122.434817,94.5
1296,699 VALENCIA St,San Francisco,37.761743,-122.42149199999999,82.66666666666667
1300,1071 VALENCIA St,San Francisco,37.755824,-122.42098600000001,83.07692307692308
1304,654 IRVING St,San Francisco,37.764128,-122.46496100000002,82.0
1318,5450 GEARY Blvd,San Francisco,37.780516999999996,-122.477804,85.22222222222223
1322,2210 FILLMORE St,San Francisco,37.789961,-122.43396200000001,93.66666666666667
1323,1514 UNION St,San Francisco,37.798528000000005,-122.42439399999999,94.0
1332,1399 CHURCH St,San Francisco,37.748594,-122.427116,90.16666666666667
1337,3263 MISSION St,San Francisco,37.744726,-122.420395,87.07142857142857
1339,691 CHENERY St,San Francisco,37.734483000000004,-122.43368000000001,86.1875
1341,4117 19th St,San Francisco,37.759253,-122.43503,100.0
1344,1307 09th Ave,San Francisco,37.758941,-122.48591,96.0
1345,1574 California St,San Francisco,37.790683,-122.42026399999999,80.45454545454545
1347,100 CARL St,San Francisco,37.765778000000005,-122.45018400000001,90.66666666666667
1350,639 CLEMENT St,San Francisco,37.782833000000004,-122.46615,78.75
1351,156 EDDY St,San Francisco,37.784288000000004,-122.410224,100.0
1352,495 Castro St B,San Francisco,37.760954,-122.43493500000001,81.33333333333333
1354,2275 MARKET St,San Francisco,37.764697,-122.432322,88.0
1359,1750 DIVISADERO St,San Francisco,37.785907,-122.439957,98.0
1362,4499 MISSION St,San Francisco,37.726402,-122.433476,82.16666666666667
1366,2475A MISSION,San Francisco,37.757436,-122.41888,76.375
1368,701 Battery St,San Francisco,37.797754,-122.400925,98.0
1381,2852 Diamond St,San Francisco,37.73382,-122.43409299999999,89.5
1389,5546 GEARY Blvd,San Francisco,37.78047,-122.47883200000001,83.3076923076923
1398,721 IRVING St,San Francisco,37.764053000000004,-122.46553899999999,87.33333333333333
1399,3150 22nd St,San Francisco,37.755538,-122.41798200000001,96.25
1413,5455 GEARY Blvd,San Francisco,37.780305,-122.477825,98.0
1426,4476A MISSION,San Francisco,37.726116999999995,-122.43381699999999,69.4090909090909
1434,3872 24th St,San Francisco,37.751628000000004,-122.42912199999999,93.5
1442,2801 Leavenworth St,San Francisco,37.807155,-122.419004,92.28571428571429
